Electricity Total Sales East South Central
https://www.eia.gov/outlooks/steo/data/browser/#/?v=20&f=A&s=0&start=1997&end=2023&linechart=~ELTCP_ESC&map=&maptype=0&ctype=linechart&id=
18:52:59 GMT-0600 (Central Standard Time)
Data source: U.S. Energy Information Administration
Year,Electricity Total Sales: East South Central billion kilowatthours
2026,320.55
2025,320.08
2024,314.13
2023,303.57
2022,313.46
2021,307.74
2020,296.68
2019,312.22
2018,320.19
2017,303.94
2016,312.59
2015,313.21
2014,318.96
2013,318.34
2012,320.00
2011,328.60
2010,337.64
2009,312.70
2008,335.03
2007,339.10
2006,330.29
2005,328.36
2004,319.08
2003,312.07
2002,314.02
2001,299.75
2000,302.90
1999,296.65
1998,291.48
1997,279.04
1996,277.81
1995,264.45
1994,259.22
1993,247.79
1992,241.06
1991,236.83
1990,230.29
