Neighborhood,ZIP-code,Number-of-households,Population,Households-with-one-or-more-people-65-years-and-over,Households-with-one-or-more-people-under-18-years,Population-with-Bachelor's-degree-or-higher,Median-household-income-(in-US-dollars),Households-with-no-vehicles,Households-with-1+-vehicles,"Proportion-of-developed,-open-space-in-neighborhood¹",Primary-mode-of-transportation-to-work-(persons-aged-16-years+):-walking-or-public-transit,Homes-built-2010-or-later,Homes-built-1990-to-2009,Homes-built-1970-to-1989,Homes-built-1950-to-1969,Homes-built-1950-or-earlier,Detached-whole-house,Townhouse,Apartments,Mobile-Homes/Other,Percentage-of-Old-and-Young-people,Percentage-of-Educated-Population
Downtown-/-South-Main-Arts-District-/-South-Bluffs,38103,0.354770776,0.154420305,0.03810925744,0.04016064257,0.296858217,0.3209084126,0.1262265834,0.3455797301,0.0464,0.278584392,0.3315776273,0.3562383778,0.05053068759,0.06480505796,0.1937730438,0.03744383425,0.2682926829,0.8776317468,0.05949656751,0,1
Lakeland-/-Arlington-/-Brunswick,38002,0.7398887629,0.7612863916,0.6354268891,0.7907630522,0.5803347655,0.5953045545,0.1079393399,0.7406774993,0.0780,0.05898366606,0.6608979182,0.7621535464,0.2527688048,0.07744994731,0.03905503209,0.8192710934,0.03586800574,0.1238994513,0.8375286041,0.6345515612,0.4520973211
Collierville-/-Piperton,38017,1,1,0.8621197252,1,1,0.73672065,0.1565566459,1,0.1416,0.05898366606,1,0.9074648012,0.505191509,0.09704952582,0.04383449406,1,0.4713055954,0.3993875207,0.2425629291,0.6196415968,0.6360404763
"Cordova-Zipcode-1",38016,0.913386252,0.7724442583,0.6354268891,0.5969210174,0.5447099893,0.3206044108,0.2698483497,0.8976590471,0.2971,0.1188747731,0.6721845999,1,0.548454084,0.05205479452,0.0004096681688,0.6945207189,1,0.847518183,0.2745995423,0.4379168804,0.4108306932
"Cordova-Zipcode-2",38018,0.6892920784,0.6529065671,0.4517500818,0.5516733601,0.5107858933,0.4166966062,0.09768064228,0.6903332415,0.3797,0.08983666062,0.2801605217,0.7642787568,0.4883479465,0.01085353003,0.0043697938,0.6869695457,0.2532281205,0.3574071711,0.03432494279,0.4187387776,0.4616965759
Hickory-Withe,38028,0.06798423241,0.07602962737,0.0616617599,0.08647925033,0.08449695668,0.8396736126,0.2413024086,0.07055907464,0.0714,0.008166969147,0.05392525709,0.1025413973,0.03657129672,0.005690200211,0.006964358869,0.110771343,0.01147776184,0,0.1487414188,0.7316645574,0.4468715716
Oakland,38060,0.1864571521,0.1647784611,0.1651946353,0.1580990629,0.09975832438,0.3797327548,0.1079393399,0.1826494079,0.0741,0.03811252269,0.2964635064,0.2227928805,0.02988001846,0.01011591149,0.01051481633,0.2436969546,0.01291248207,0.001403598316,0.5881006865,0.7014949622,0.2836025539
Rossville,38066,0,0,0,0,0.022377372,0.5248590537,0.03256021409,0,0.0000,0.002722323049,0.06822172059,0.008146639511,0.01430549146,0.0008429926238,0,0.01947079381,0,0.002551996938,0.5148741419,0.7848404958,0.3598385674
East-Midtown-/-Central-Gardens-/-Cooper-Young,38104,0.62076786,0.3506350083,0.3434739941,0.196519411,0.3974221267,0.1874861817,0.6369313113,0.5538419168,0.3834,0.6851179673,0.09154752947,0.05614097228,0.1836640517,0.3590094837,1,0.2943709436,0.5659971306,1,0.08924485126,0.415406564,0.6669804247
Uptown-/-Pinch-District,38105,0.0967114855,0.02389611379,0.005724566569,0.01285140562,0.01978159685,0,0.3349687779,0.05656843845,0.1668,0.3729582577,0.1356909957,0,0.05537609599,0.1349841939,0.1159360918,0,0.1011477762,0.3864999362,0.03432494279,0.5490180274,0.2158010999
South-Memphis,38106,0.4144932232,0.3426569432,0.4301602879,0.1945113788,0.061537773,0.003468383816,0.6989295272,0.3357752685,0.1762,0.3148820327,0.02633559067,0.01443372,0.06241347485,0.5995785037,0.5649324048,0.5037443834,0.4648493544,0.2364425163,0.2837528604,0.5669729344,0.03489961607
North-Memphis-/-Snowden-/-New-Chicago,38107,0.2812786868,0.196024296,0.1542361793,0.1506024096,0.08830110992,0.04889592085,0.4745762712,0.2275957037,0.4060,0.387477314,0.1387007775,0.04046754627,0.06633594832,0.2017913593,0.4914652465,0.2737144284,0.3342898135,0.2870996555,0.118993135,0.4871331894,0.2017165687
Hollywood-/-Hyde-Park-/-Nutbush,38108,0.2764188131,0.2802604772,0.2479555119,0.2464524766,0.03378983172,0.04227697325,0.4678858162,0.2234646103,0.3245,0.168784029,0.004013042388,0.01177720712,0.05502999539,0.402739726,0.3330602212,0.3304418372,0.3342898135,0.1380630343,0.2402745995,0.5801427743,0
Coro-Lake-/-White-Haven,38109,0.8238025811,0.7603533959,1,0.5819277108,0.1635785893,0.05263376078,0.9339875112,0.7242632884,0.2032,0.2431941924,0.0815149235,0.1563800584,0.455006922,1,0.3225454049,0.9702945582,0.269010043,0.2312109225,0.4874141876,0.7198502635,0.05330881105
